event_type,scheduled_at_utc,importance,source,source_series_names
PCE,2022-05-27 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Apr); Core PCE Price Index YoY (Apr); PCE Price Index MoM (Apr); PCE Price Index YoY (Apr)
NFP,2022-06-03 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (May); Nonfarm Payrolls Private (May)
CPI,2022-06-10 12:30:00,high,fmp_economics_calendar,CPI (May); Core Inflation Rate MoM (May); Core Inflation Rate YoY (May); Inflation Rate MoM (May); Inflation Rate YoY (May)
FOMC_DECISION,2022-06-15 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
PCE,2022-06-30 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (May); Core PCE Price Index YoY (May); PCE Price Index MoM (May); PCE Price Index YoY (May)
FOMC_MINUTES,2022-07-06 18:00:00,medium,fmp_economics_calendar,FOMC Minutes
NFP,2022-07-08 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Jun); Nonfarm Payrolls Private (Jun)
CPI,2022-07-13 12:30:00,high,fmp_economics_calendar,CPI (Jun); Core Inflation Rate MoM (Jun); Core Inflation Rate YoY (Jun); Inflation Rate MoM (Jun); Inflation Rate YoY (Jun)
FOMC_DECISION,2022-07-27 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
PCE,2022-07-29 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Jun); Core PCE Price Index YoY (Jun); PCE Price Index MoM (Jun); PCE Price Index YoY (Jun)
NFP,2022-08-05 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Jul); Nonfarm Payrolls Private (Jul)
CPI,2022-08-10 12:30:00,high,fmp_economics_calendar,CPI (Jul); Core Inflation Rate MoM (Jul); Core Inflation Rate YoY (Jul); Inflation Rate MoM (Jul); Inflation Rate YoY (Jul)
FOMC_MINUTES,2022-08-17 18:00:00,medium,fmp_economics_calendar,FOMC Minutes
PCE,2022-08-26 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Jul); Core PCE Price Index YoY (Jul); PCE Price Index MoM (Jul); PCE Price Index YoY (Jul)
NFP,2022-09-02 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Aug); Nonfarm Payrolls Private (Aug)
CPI,2022-09-13 12:30:00,high,fmp_economics_calendar,CPI (Aug); Core Inflation Rate MoM (Aug); Core Inflation Rate YoY (Aug); Inflation Rate MoM (Aug); Inflation Rate YoY (Aug)
FOMC_DECISION,2022-09-21 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
PCE,2022-09-30 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Aug); Core PCE Price Index YoY (Aug); PCE Price Index MoM (Aug); PCE Price Index YoY (Aug)
NFP,2022-10-07 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Sep); Nonfarm Payrolls Private (Sep)
FOMC_MINUTES,2022-10-12 18:00:00,medium,fmp_economics_calendar,FOMC Minutes
CPI,2022-10-13 12:30:00,high,fmp_economics_calendar,CPI (Sep); Core Inflation Rate MoM (Sep); Core Inflation Rate YoY (Sep); Inflation Rate MoM (Sep); Inflation Rate YoY (Sep)
PCE,2022-10-28 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Sep); Core PCE Price Index YoY (Sep); PCE Price Index MoM (Sep); PCE Price Index YoY (Sep)
FOMC_DECISION,2022-11-02 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
